2026-03-27|pSEO設計|Byword pSEO 2.0アーキテクチャ採用（JSON schema + renderer分離）|組み合わせ爆発で24GP×231ペア=年間5500+ページ自動生成可能。AIテキスト生成ではなくデータ駆動なのでGoogle HCU耐性高い|スキーマ変更時は全JSON再生成が必要
2026-04-05|[pair]/[type]統合却下|4テンプレ個別getStaticPaths維持|career-arc.astroと同型で保守容易、ビルド時間差は微小|テンプレ横断変更時は4ファイル同期要
2026-04-05|pseo-typeA-render|1枚のAstroテンプレート内で7カード種をcardType分岐描画|既存card_*.html全複製より保守性優先|個別ビジュアル精度は後工程
2026-04-05|pseo-typeE-coverage|R01/R03は11チーム55ペア実装(spec45超過)|実データ基準のほうが未来GPへの拡張が自然|スラッグ衝突なしを確認
2026-04-05|pseo-openf1|braking/corner/overtakeはPENDING表示で出荷|OpenF1未統合・ビルド成功優先|統合後に同スクリプトの差し替えで対応可能
2026-04-05|pseo-typeC-triples|TYPE-C(3者比較)を22C3=1,540×2=3,080ページ全展開、キュレーションなし|2026現役22名限定でスコープ固定、組み合わせ爆発を受容して検索面積最大化|若手はcareer_eventsデビューのみ、表示が空白多い。シーズン進行で追記
2026-04-05|pseo-typeC-scope|TYPE-Cは2026現役22名のみ(歴代30名の全組み合わせ4060は不採用)|毎年対象が入れ替わる設計=常に最新性を維持、古い組み合わせは翌年破棄可能|ドライバー移籍でスラッグが無効化→年次再生成前提
2026-04-05|master-missing|2026新人/継続7名(HAD/STR/COL/BEA/LAW/LIN/BOR)をmaster.jsonに最小エントリで追加|TYPE-C生成のブロッカー解消、デビューイベントのみで十分|milestone_wins等は0埋め、実データ更新は後続
2026-04-05|openf1統合|3カード種(braking/corner/overtake)をOpenF1実データ化|FastF1ではx,y GPS/brake取得不能。OpenF1 car_data+location+positionで代替|R01-R03で9JSON更新、6470ページ維持
2026-04-05|解析窓|レース25%地点から3分窓、上位10ドライバー限定|フルレース×22ドライバーはAPI負荷大。代表窓で十分|ピット/SC混入のリスクあり
2026-04-05|コーナー検出|speed極小値を自動検出(閾値180km/h, 最小間隔2s)|手動マッピングは23サーキット分の保守コストが重い|R01=20/R02=17/R03=13コーナー検出
2026-04-06|コード共有化|makeRow/ScoreRow→scorecard.ts、TYRE_COLORS→data.ts抽出|H2H 5ページで150行削減、変更の一貫性保証|importパス変更時は5ファイル影響
2026-04-06|CSS統一|rgba()→color-mix(in srgb, var(--accent))に全統一|デザイントークン変更時に一箇所で済む|color-mix()はSafari 16.4+/Chrome 111+以降
2026-04-06|空データ対応|ECharts 4ページに空データ時のフォールバック表示追加|DNF/短周回数でチャートが空白になる問題を解消|per_lapデータ構造に依存
2026-04-06|era-adjusted実装|スタブからCanvas折れ線チャート描画を完全実装|pending以外のデータが存在すれば描画される|era_pointsの実データ生成は未実施（pending表示）
2026-04-06|upgradesレンダリング|チーム別水平タイムライン+アップグレードマーカーで実装|他5種(championship等)と同じCanvas描画パターン|upgradesデータのJSON形式: {teams:[{name,color,upgrades:[{round,delta}]}]}
2026-04-07|UI改善|ハーネスパターン(Plan→Generate→Evaluate)でBase.astro+index.astro改善|ブログの4軸(Design/Originality/Craft/Functionality)で5→7/4→7/7→8/5→8に向上|全6,470ページに影響（グローバルレイアウト変更）
2026-04-07|F1デザイン適用|formula1.comデザイン哲学をサイト全体に適用（Titillium Web+Orbitron、不完全フレーム、F1カラートークン）|プロフェッショナルなF1データサイトの外観を実現。著作権問題なし（フォントはGoogle Fonts、デザインパターンの参考のみ）|全6,470ページに影響、既存変数名は維持しつつ拡張
2026-04-08|openf1品質修正|6バグ修正(jitter/GPS最近傍/動的GP/ピット除外/死にコード削除/Canvas描画)|レビューで特定した全問題を一括修正。ビルド6470ページ成功|JSON再生成が必要（API呼び出し未実施）
2026-04-08|intersd2パス修正|data.ts/astro.config.mjs/copy-charts.mjsの3ファイルでintersd2→lyssr_workspaceに変更|ディスク移動後のビルド失敗を解消|他にハードコードパスがないかgrepで要確認
2026-04-08|Graphiti検討|Graphiti(getzep/graphiti)を不採用|構造化済みF1データにLLM抽出は過剰。エピソード投入ごとに複数LLM APIコールでコスト爆発。Neo4j運用も不要。JSON→静的ビルドパイプラインが最適|AIエージェント対話層を追加する場合のみ再検討
